solver,n,status,num_knights,placement,solve_time,nodes_explored,upper_bound,lower_bound,timestamp,strategy,branch_var,nodes_pruned_bound,nodes_pruned_infeasible,nodes_integer,branch_order,run_id
best_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.125572,35,6,5.0,2026-06-02T14:37:52.343191,best_first,most_constrained,28,0,4,zero_first,1
best_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.113803,35,6,5.0,2026-06-02T14:37:52.459795,best_first,most_constrained,28,0,4,zero_first,2
best_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.103818,35,6,5.0,2026-06-02T14:37:52.560366,best_first,most_constrained,28,0,4,zero_first,3
best_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.10638,35,6,5.0,2026-06-02T14:37:52.671232,best_first,first_fractional,28,0,4,zero_first,1
best_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.132509,35,6,5.0,2026-06-02T14:37:52.805907,best_first,first_fractional,28,0,4,zero_first,2
best_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.105912,35,6,5.0,2026-06-02T14:37:52.911319,best_first,first_fractional,28,0,4,zero_first,3
best_first_least_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.107902,35,6,5.0,2026-06-02T14:37:53.008638,best_first,least_constrained,28,0,4,zero_first,1
best_first_least_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.102392,35,6,5.0,2026-06-02T14:37:53.109865,best_first,least_constrained,28,0,4,zero_first,2
best_first_least_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.104065,35,6,5.0,2026-06-02T14:37:53.217565,best_first,least_constrained,28,0,4,zero_first,3
depth_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.104226,35,6,5.0,2026-06-02T14:37:53.327146,depth_first,most_constrained,28,0,4,zero_first,1
depth_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.103855,35,6,5.0,2026-06-02T14:37:53.431775,depth_first,most_constrained,28,0,4,zero_first,2
depth_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.105482,35,6,5.0,2026-06-02T14:37:53.538124,depth_first,most_constrained,28,0,4,zero_first,3
depth_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.106358,35,6,5.0,2026-06-02T14:37:53.650418,depth_first,first_fractional,28,0,4,zero_first,1
depth_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.108839,35,6,5.0,2026-06-02T14:37:53.760043,depth_first,first_fractional,28,0,4,zero_first,2
depth_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.105035,35,6,5.0,2026-06-02T14:37:53.859987,depth_first,first_fractional,28,0,4,zero_first,3
depth_first_least_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.107157,35,6,5.0,2026-06-02T14:37:53.972446,depth_first,least_constrained,28,0,4,zero_first,1
depth_first_least_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.105171,35,6,5.0,2026-06-02T14:37:54.073023,depth_first,least_constrained,28,0,4,zero_first,2
depth_first_least_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.106614,35,6,5.0,2026-06-02T14:37:54.179935,depth_first,least_constrained,28,0,4,zero_first,3
breadth_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.106667,35,6,5.0,2026-06-02T14:37:54.292848,breadth_first,most_constrained,28,0,4,zero_first,1
breadth_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.10522,35,6,5.0,2026-06-02T14:37:54.393344,breadth_first,most_constrained,28,0,4,zero_first,2
breadth_first_most_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.10533,35,6,5.0,2026-06-02T14:37:54.504401,breadth_first,most_constrained,28,0,4,zero_first,3
breadth_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.108101,35,6,5.0,2026-06-02T14:37:54.603960,breadth_first,first_fractional,28,0,4,zero_first,1
breadth_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.106005,35,6,5.0,2026-06-02T14:37:54.718424,breadth_first,first_fractional,28,0,4,zero_first,2
breadth_first_first_fractional,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.106053,35,6,5.0,2026-06-02T14:37:54.813569,breadth_first,first_fractional,28,0,4,zero_first,3
breadth_first_least_constrained,4,optimal,6,"[5, 6, 0, 1, 10, 11]",0.105878,35,6,5.0,2026-06-02T14:37:54.926547,breadth_first,least_constrained,28,0,4,zero_first,1
